% 1. Title : cyclus.spam.train
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-11-25
@RELATION BUGGY
@ATTRIBUTE Comment STRING
@ATTRIBUTE classification {clean,buggy}

@DATA
" cleaned up source facility code. moved inventory/material generation from beginning of tock to beginning of tick.",buggy
" fixed a missing non that changes the meaning of one of my dev instruction bullets",clean
" removed teuchos dependency",clean
" added the Table class to the build",buggy
" need to write a model_is_alive function",buggy
" removed teuchos dependency",clean
" Changed the setParent function in the Model class to now act as an official registry of models in the simulation (they get added as rows the the agent table). I preserved Robert's functionality that root nodes have a NULL pointer to their parent but their parentID is their own ID.  Changed the setParent function in the Model class to now act as an official registry of models in the simulation (they get added as rows the the agent table). I preserved Robert's functionality that root nodes have a NULL pointer to their parent but their parentID is their own ID.",buggy
" The Message class now creates and records Transactions in SQL",buggy
" changed storage facility to a sink facility for nwtrb input file.",buggy
" gave some values a constructor default to prevent the vars from storing junk.",clean
" added missing facilities in nwtrb input file.",buggy
" added logging to recipereactor.  added a line that checks for zero-length currCore.",buggy
" added modified nwtrb files for recipe reactor and sim debugging.",buggy
" the scientific notation in the recipebook was not being read properly.  I removed it.",buggy
" fixed copy method of recipereactor - it wasn't copying the in/out recipes of the src model.",buggy
" added more logging to recipe creation.",clean
" Fixed recipereactor bug where month_in_cycle_ was not being reset at the end of the cycle. Added more logging to recipe reactor.",buggy
" tweaked round-off handling in GreedyMarket to be more 'safe'. Cleaned up some GreedyMarket logging.",buggy
" fixed material generation bug during first time step (that I introduced in SourceFacility).",buggy
" added default commodity for market model - this allow market testing without having to 'break into' private/protected market interfaces.",clean
" added a check ensuring resource pointer is valid before message attempts to clone it.",clean
" added Tests that check proper splitting behavior of GreedyMarket.",buggy
" fixed bug in Material class CheckQuality that was returning false negatives. Added material class tests to make sure this doesn't happen again.",clean
" fixed bug where NUMISOS was too small and caused invalid write memory problems.",clean
" removed problematic checkQuality statement from GreedyMarket offer/request matching.",clean
" fixed sourcefacility tests to agree with new delta-t tracking paradigm.",clean
" finalized and runnable modified nwtrb file. - 1 source 1 recipe-reactor and 1 sink.",buggy
" removed cout left by Matt in Model.cpp that was making test output very ugly.",clean
" modified mod-nwtrb input file to have more facilities and a longer duration.",buggy
" performance modifications to IsoVector Material and Message class.",buggy
" Fixed an issue where the agents table was being made twice",clean
" cout statement taken out",clean
" Three new tables are introduced: Resource Resource Type and Material History. Logging occurs when the generating facility sets the resource's originatorID. This is analagous to the Agent table for which logging occurs when the setParent function is called. Both occurences happen when the object is 'born' in the simulation",buggy
" added foreign key to resource table",buggy
" Added foreign key (and fixed primary key) on the MaterialHistory table. Note - we need a way to correctly log materials that get created and then sent. We currently make a new resource every time which invalidates the tracking by resource ID.",buggy
" Fixed an issue where the agents table was being made twice",clean
" cout statement taken out",clean
" Three new tables are introduced: Resource Resource Type and Material History. Logging occurs when the generating facility sets the resource's originatorID. This is analagous to the Agent table for which logging occurs when the setParent function is called. Both occurences happen when the object is 'born' in the simulation",buggy
" Added foreign key (and fixed primary key) on the MaterialHistory table. Note - we need a way to correctly log materials that get created and then sent. We currently make a new resource every time which invalidates the tracking by resource ID.",clean
" All tables now defined except IsotopicStates. Note that there is some funky management of resource ids with respect to splitting etc. This should at least be discussed so that everyone is on the same page.",buggy
" added foreign key designation to material history table",buggy
" An isotopics state table is now created. Note that I grab the tracked isotopes from the decay handler. Is this the best way to do this?",buggy
" All tables now create and record. Records are confirmed correct for null/test1.xml. More testing and documentation to follow. HDF5 to be replaced shortly.",buggy
" Added stringification of string type data members they now print with opening and closing single quotes.",buggy
" changed the way the isotopic table tracks. it now combines the stateid and isotope into a primary key as per robert's suggestion",clean
" removed cout statements for database testing",buggy
" made a mass sqlite table",clean
" Added a database class with the current goal of adding sqlite functionality to the MassTable class",clean
" successfully added sqlite capability to our MassTable class. The type of database is chosen with a preprocessor macro.",buggy
" Added sqlite and ability to copy mass.sqlite to the make file.",clean
" About to make massive changes to the BookKeeper class. This is a snapshot before said changes. It compiles runs and passes all tests.",buggy
" I am in the middle of the major BookKeeper revision. I believe that I have added all the required functionality. Now I need to remove all the legacy interaction with the BookKeeper instance. In the new paradigm Agents create Tables and only Tables talk to the BookKeeper.",buggy
" Believed to have removed everything required. Compiles but seg faults on run and tests.",buggy
" Removed HDF5 dependencies. Still compiles but segfaults.",buggy
" In an attempt to fix the segfault I added an intrusive pointer to the Table class. No such luck.",buggy
" Great succes! Valgrind saves the day. No more segfaults compiles and runs. However the tables are not building properly. E.g. For /input/null/test1.xml the Agents table has only one entry: the GreedyMarket.",buggy
" Great success! The sim runs on null/test1.xml and gives the desired output. The tests seg fault though. Time to investigate.",clean
" Fixing seg faults using valgrind. Partially done.",clean
" Revert Fixing seg faults using valgrind. Partially done.  This reverts commit 42d5d7131a68b392b5beff327ea874a84c13fa93.",buggy
" reverted the last commit",clean
" Successfully guarded table writing agaisnt non defined tables and databases.",buggy
" more redundancy for database existance checking.",buggy
" added some output database diagrams",clean
" made code example for github",clean
" returning to the original commit",clean
" more cleanliness for presentations",clean
" Satisfied with documentation and safety of bookkeeper class",buggy
" More documentation written for the Table class.",buggy
" Updated the TableClass' documentation.",buggy
" long day... doneish with Table documentation.",buggy
" performance modifications to IsoVector Material and Message class.",clean
" the message class now creates a transaction table in sql language and appends rows to it",clean
" Fixed an issue where the agents table was being made twice",buggy
" Three new tables are introduced: Resource Resource Type and Material History. Logging occurs when the generating facility sets the resource's originatorID. This is analagous to the Agent table for which logging occurs when the setParent function is called. Both occurences happen when the object is 'born' in the simulation",buggy
" Added foreign key (and fixed primary key) on the MaterialHistory table. Note - we need a way to correctly log materials that get created and then sent. We currently make a new resource every time which invalidates the tracking by resource ID.",clean
" All tables now defined except IsotopicStates. Note that there is some funky management of resource ids with respect to splitting etc. This should at least be discussed so that everyone is on the same page.",buggy
" An isotopics state table is now created. Note that I grab the tracked isotopes from the decay handler. Is this the best way to do this?",clean
" All tables now create and record. Records are confirmed correct for null/test1.xml. More testing and documentation to follow. HDF5 to be replaced shortly.",buggy
" rebased both origin and upstream branches and fixed all conflicts",clean
" used the envrionment class to check for envrionment vars in the BookKeeper",clean
" some cleaning up",clean
" Added documenataion and more robost error checking to the Database class",buggy
" saving progress on readme",clean
" the message class now creates a transaction table in sql language and appends rows to it",buggy
" updating",clean
" Fixed an issue where the agents table was being made twice",clean
" cout statement taken out",clean
" Three new tables are introduced: Resource Resource Type and Material History. Logging occurs when the generating facility sets the resource's originatorID. This is analagous to the Agent table for which logging occurs when the setParent function is called. Both occurences happen when the object is 'born' in the simulation",buggy
" added foreign key to resource table",clean
" Added foreign key (and fixed primary key) on the MaterialHistory table. Note - we need a way to correctly log materials that get created and then sent. We currently make a new resource every time which invalidates the tracking by resource ID.",clean
" Fixed an issue where the agents table was being made twice",clean
" cout statement taken out",clean
" Three new tables are introduced: Resource Resource Type and Material History. Logging occurs when the generating facility sets the resource's originatorID. This is analagous to the Agent table for which logging occurs when the setParent function is called. Both occurences happen when the object is 'born' in the simulation",buggy
" added foreign key to resource table",clean
" Added foreign key (and fixed primary key) on the MaterialHistory table. Note - we need a way to correctly log materials that get created and then sent. We currently make a new resource every time which invalidates the tracking by resource ID.",clean
" All tables now defined except IsotopicStates. Note that there is some funky management of resource ids with respect to splitting etc. This should at least be discussed so that everyone is on the same page.",buggy
" added foreign key designation to material history table",clean
" An isotopics state table is now created. Note that I grab the tracked isotopes from the decay handler. Is this the best way to do this?",clean
" All tables now create and record. Records are confirmed correct for null/test1.xml. More testing and documentation to follow. HDF5 to be replaced shortly.",clean
" Added stringification of string type data members they now print with opening and closing single quotes.",clean
" changed the way the isotopic table tracks. it now combines the stateid and isotope into a primary key as per robert's suggestion",clean
" removed cout statements for database testing",clean
" made a mass sqlite table",clean
" Added a database class with the current goal of adding sqlite functionality to the MassTable class",buggy
" successfully added sqlite capability to our MassTable class. The type of database is chosen with a preprocessor macro.",buggy
" Added sqlite and ability to copy mass.sqlite to the make file.",clean
" About to make massive changes to the BookKeeper class. This is a snapshot before said changes. It compiles runs and passes all tests.",buggy
" I am in the middle of the major BookKeeper revision. I believe that I have added all the required functionality. Now I need to remove all the legacy interaction with the BookKeeper instance. In the new paradigm Agents create Tables and only Tables talk to the BookKeeper.",buggy
" Believed to have removed everything required. Compiles but seg faults on run and tests.",buggy
" Removed HDF5 dependencies. Still compiles but segfaults.",clean
" In an attempt to fix the segfault I added an intrusive pointer to the Table class. No such luck.",buggy
" Great succes! Valgrind saves the day. No more segfaults compiles and runs. However the tables are not building properly. E.g. For /input/null/test1.xml the Agents table has only one entry: the GreedyMarket.",buggy
" Great success! The sim runs on null/test1.xml and gives the desired output. The tests seg fault though. Time to investigate.",buggy
" Fixing seg faults using valgrind. Partially done.",clean
" Revert Fixing seg faults using valgrind. Partially done.  This reverts commit 42d5d7131a68b392b5beff327ea874a84c13fa93.",clean
" reverted the last commit",clean
" Successfully guarded table writing agaisnt non defined tables and databases.",buggy
" more redundancy for database existance checking.",clean
" added some output database diagrams",clean
" made code example for github",clean
" returning to the original commit",buggy
" more cleanliness for presentations",clean
" Satisfied with documentation and safety of bookkeeper class",buggy
" More documentation written for the Table class.",clean
" Updated the TableClass' documentation.",clean
" long day... doneish with Table documentation.",clean
" performance modifications to IsoVector Material and Message class.",buggy
" the message class now creates a transaction table in sql language and appends rows to it",clean
" Fixed an issue where the agents table was being made twice",buggy
" Three new tables are introduced: Resource Resource Type and Material History. Logging occurs when the generating facility sets the resource's originatorID. This is analagous to the Agent table for which logging occurs when the setParent function is called. Both occurences happen when the object is 'born' in the simulation",buggy
" Added foreign key (and fixed primary key) on the MaterialHistory table. Note - we need a way to correctly log materials that get created and then sent. We currently make a new resource every time which invalidates the tracking by resource ID.",clean
" All tables now defined except IsotopicStates. Note that there is some funky management of resource ids with respect to splitting etc. This should at least be discussed so that everyone is on the same page.",clean
" An isotopics state table is now created. Note that I grab the tracked isotopes from the decay handler. Is this the best way to do this?",buggy
" All tables now create and record. Records are confirmed correct for null/test1.xml. More testing and documentation to follow. HDF5 to be replaced shortly.",buggy
" rebased both origin and upstream branches and fixed all conflicts",clean
" used the envrionment class to check for envrionment vars in the BookKeeper",clean
" some cleaning up",clean
" Added documenataion and more robost error checking to the Database class",buggy
" saving progress on readme",clean
" commit didnt go through?",buggy
" saving progress on readme",clean
" More work on readme",clean
" Rough draft of readme example finished.",clean
" cleaning up readme",clean
" cleaning up readme",clean
" cleaning up readme",clean
" cleaning up readme",clean
" Wrote some Table tests to be retro fitted to work on Database and BookKeeper tests. Please note that there is a commented out error throw in the updating of row primary keys. This needs to be sorted out.",buggy
" added the TableTest files",buggy
" added a test suite for the Database class",buggy
" Now have a full test suite for classes: Table Database BookKeeper. A final round of cleanup should be performed. However full functionality now exists",buggy
" This is a the last commit of the new database patch. Two things should be noted first: 1) I've introduced an environment variable requirement of 'CYCLUS_OUT_DIR' and 2) a seg fault occurs *only* when using log level 5 (I have made a corresponding issue).",buggy
" Cleaned up recipe reactor.  changed protected to private for many vars. Exposed pertinint vars through public getters/setters. renamed some vars. Consolidated typedefs.",buggy
" added extract and absorb methods to generic resource.  Changed visibility of some member vars from protected to private.",buggy
" removed unused channel class.",clean
" added sqlite3 to required libraries in readme",clean
" added specific exception for missing env variable. exceptions are caught and default values used if env variables don't exist.  There are other locations that should catch this exception too.",buggy
" fixes #56. I removed the logging from IntrusiveBase class.  I think there was some funky interplay between the templating boost library and logging.  I'm not sure of the exact cause but the logging in IntrusiveBase is not really necessary anymore.",clean
" added boost/filesystem library. Env class now uses it to manage cyclus absolute/relative paths.  getCyclusPath now robustly returns the directory of the cyclus exec as an absolute path.",buggy
" ENV singleton removed in favor of pure static class Env.",buggy
" All CYCLUS_OUT_DIR checks were replaced with getCyclusPath (now that it is robust).",buggy
" tweaked log statement and missing file exception message.",clean
" Moved the ROW_THRESHOLD definition from the Table class to the BookKeeper. The Table class now queries the Book Keeper to get this value.",buggy
" Moved state-recording initiation of IsoVector objects into the Material class and removed it from the IsoVector constructors. re-removed performance killing print() calls that must have been added by conflict resolution by matt.",buggy
" Model level Stub files checked.",clean
" Checked all Stub files. No substantive changes were required outside of clearing out old database information and removing unneccesary includes. Compliance of using namespace std when needed was also included. This closes #5.",buggy
" performance enhancements to IsoVector and Material class.",buggy
" Did some doxygen updating by hand. It got tedious. I'm making a script.",buggy
" working on script",clean
" script is pretty much ready to go",clean
" finished IsoVector moving on",buggy
" Finished documentation in main src folder",buggy
" Updated documentation in the Utility folder",buggy
" Updated all Converter documentation",buggy
" Updated documenatation for all Facility models",buggy
" Updated documentation for Inst models",buggy
" Updated documentation for Markets.",buggy
" updated Model's documentation",buggy
" Updated documentation for Regions",buggy
" Updated TimeAgent documentation removed TimeAgent.cpp",clean
" Finished updating documentation for Stubs and cleaned up other messes made in the documenatation update process. The process is now done closes 3.",buggy
" removed dependencies directory. it is no longer needed.",clean
" moved IntrusiveBase to Utility dir and added some comments to it.",buggy
" Conformed the IntrusiveBase comments to standard",buggy
" Updated the static doxygen files to point to the cyclus wiki",clean
" removed the testing doxygen page because it exists on the website.",clean
" previously meant to remove the tutorial page. reverting and re-applying changes.",clean
" made a tools directory for various clean-up/update scripts we may use",clean
" Naughty Matt. Re-added more performance mods to IsoVector that were removed by Matt durring conflict resolution.",buggy
" added beginnings of tests for material store.",buggy
" added header shell for MaterialStore.  renamed a few things in MaterialStoreTests.",buggy
" added good comments to several MaterialStore methods in header file.",clean
" finished commenting the MaterialStore public methods.",buggy
" progress on MaterialStore tests.  Some tweaking to header comments as well.",buggy
" removed Over/Under fancyness because it is not necessary - if no splitting is required than the removeNum or removeOne methods should be used.",buggy
" added tests for removeQty and renamed some things.",buggy
" added tests for removeNum and removeOne.",buggy
" added tests for addOne.  Added new DupMat exception type.  renamed some tests.",buggy
" finished addAll tests.",buggy
" removed obsolete stuff from MaterialStore header. Started MaterialStore implementation.",buggy
" added MaterialStore and tests to the build. Fixed compile errors - it now compiles.",buggy
" split setcapacity exception tests into two to isolate problems more.",buggy
" bit more on MaterialStore implementation.  Refactored more of its tests.",buggy
" finished the quantity method of MaterialStore.",clean
" work on removeQty. changed mats_ to std::list.",buggy
" finished addOne on MaterialStore.",clean
" created abstract base class for material stores. Renamed current implementatino to DeckStore.",buggy
" tweaked Material extracting. almost finished DeckStore implementation.",buggy
" fixed remaining bugs in DeckStore implementation.",clean
" DeckStore now passes all tests.",clean
" changed 'add' to 'push' and 'remove' to 'pop' in DeckStore and MatStore.",buggy
" renamed and cleaned up DeckStore and MatStore stuff.",buggy
" simplified DeckStore popQty",clean
" added res<-->mat casting helper functions to MatStore class.",clean
" implementing DeckStore on SourceFacility.",buggy
" SourceFacility now uses DeckStore bug free and passes its tests.",buggy
" The null facility is not a non facility... so I'm giving it a real prefix (rather than 'none'). It was a funny joke but exclamation parts can be hard to grep...",clean
" implemented DeckStore in SinkFacility.",buggy
" Added error checking/exception catching to approveTransfer method in Message class.",clean
" temp  more work conforming NullFacility to use DeckStore 's. Doesn't compile.  finished implementing DeckStore in NullFacility but it behaves differently than before...",buggy
" added debug try-catch.",buggy
" temp in debugging.",buggy
" Finished DeckStore in null facility.  Null facility now does not make any offers for material from as yet unmatched offers (it used to before). Added logging errors if resource transfer problems occur.",buggy
" Tried using BookKeeper::nTables() rather than db_->nTables() where possible.",buggy
" Null pointer in instance creation.",buggy
" Closes issue #61 by initializing the db_ with a null pointer.",clean
" Changed indentation for StubFacility.rng. Doesn't change behavior merely aesthetics.",clean
" Adds a StubFacilityInput.xml file to assist with issue #24 concerning the creating of input stubs in addition to tests...",buggy
" uses stub insts markets regions for stub input.",buggy
" Made recipes optional (as they should be) and finalized StubFacilityInput.xml",clean
" Corrected comment.",buggy
" Adds Stub*Input.xml files contributing to issue #24.  The way I have chosen to do this is quite redundant.  However putting these files in the folders with the models decreases the burden on the developer in comparison with the option of adding just one StubInput.xml file in the core/input/ directory.  I couldn't decide which of these options was best so I just picked this one. Any thoughts? Is redundancy preferable to an extra step in development or is it preferable to keep the input files out of the src directory?",buggy
" Changed my mind less redundancy is almost always better.",clean
" renamed DeckStore to ResourceBuff and changed it to just deal with rsrc_ptr instead of Materials. Deleted MatStore.h.",buggy
" fixed tests and added define and exceptions from old MatStore.h into ResourceBuff.h.",buggy
" renamed deck store tests to MatBuffTests",clean
" worked out many bugs. ResourceBuff no longer requires extract/absorb methods.",buggy
" updated models and fixed testing bugs to comply with new resource/mat buff paradigm.",buggy
" some small changes and notes added to database related items",buggy
" updated readme",clean
" removed some superfulous wording",buggy
" fixed bail bug when running tests in gdb (was a cyclus path error in Env class).",buggy
" make .gitignore a bit smarter.",clean
" Added some small clarifications to workflow description.",clean
" sed replaced @brief with ''. Switched GenResource exceptions to be class specific and cleaned up their document.",buggy
" pushition fix as well as unlimited capacity bug fix.",buggy
" moved the cmakelists file for the build region to NoBuild.txt so that it is not pulled into the build by the sudirectory adding loop to be added in the above cmakelists files.",clean
" moved the cmakelists file for the CapacityRegion to NoBuild.txt so that it is not pulled into the build by the sudirectory adding loop to be added in the above cmakelists files.",clean
" This adds an ADD_ALL_SUBDIRECTORY(*) sort of functionality to the CMakeLists files in the source tree. For example the Models directory will ADD_SUBDIRECTORY for all subdirectories of Model/ that contain CMakeLists.txt files.",buggy
" removed extraneous print statements in build.",clean
" added some datatypes",buggy
" adds datatyping to some rng files that did not have any.",buggy
" missing slash in sourcefacility.rng ;",buggy
" missing slashes in swueuf6converter.rng",buggy
" debugging debug",clean
" updated MassTable brief description",clean
" added table stuff. ;",buggy
" Table entry is added any time stuff is conditioned.",buggy
" removed now deprecated hdf5 input files for conditioning facility. When module level dependencies make more sense these can be reinstated.",clean
" typo in error message wrong file format.",buggy
" conformed all doxygen documentation to the standard as stated on the website",clean
" Revert conformed all doxygen documentation to the standard as stated on the website  This reverts commit 73dee2cd0aa5f686a29a0136b655418d3c796d66.",buggy
" Conformed all doxygen comments to the standard as stated on the website and added a script that will perform this task automatically. This script has been added in a new folder named 'auto_cleanup'. If theres a better place for it please let me know.",buggy
" Close to finished with BuildInst. One test still failing.",buggy
" Finished BuildInst waiting to hear back on build test question",clean
" Institutions no longer copy their parent when copied from another institution. This step broke tests and I'm not convinced its the correct way to go.",buggy
" removed teuchos dependency",clean
" minor simplifications to table interface. Added defineTable(columns keys) function",buggy
" constructed the BuildRegion's rng file",buggy
" added CMakeLists file for this version of BuildRegion",clean
" Finished a rough draft of the BuildRegion class documentation.",buggy
" adds a more useful log tag.",buggy
" moved logging and writing to table closer to the conditioning behavior.",buggy
" minor simplifications to table making function.",clean
" Made more sophisticated ConditionedResources table.",buggy
" cleanup.",clean
" This adds some documentation for the ConditioningFacility table. Though this class only supports csv input files at the moment this work closes issue #12 .",buggy
" set javadoc autobrief to YES in order for the briefs to be picked up without the brief keyword. Fixes annihilation of briefs that occured unintentionally during the documentation overhaul in commit 4155787860a800af5c33aeefd0ff06522ed8c3e7 . For briefs to be picked up from the \brief free syntax the JAVADAC_AUTOBRIEF config variable must be yes. Done and done!",clean
" prepping for doxygen line length update",buggy
" Shortened all doxygen line lengths",buggy
" more progress on buildregion",buggy
" changed loading paradigm to go facilities - insts - regions. changed fixed inst instmodel and regionmodel to comply",buggy
" Paradigm shift: I have separated a module's construction step from its inialization step. Previously some modules would be initalized during their construction; now all modules exist for some distinct period as a template (i.e. constructed but not initialized) in the simulation before being 'born' via the setParent() method. Accordingly I elimated explicit calling of setIsTemplate(false) in both the RegionModel and MarketModel classes in favor of a generic init() method which calls the setParent() method.",clean
" modularized RegionModel's init functionality",buggy
" Finished first draft of BuildRegion header and implementation file. Still have to write the init function for XML input and construct its test suite.",buggy
" BuildRegion tests complete. Initial input file using BuildInst complete. Moving on to BuildRegion's init function and input file using BuildRegion.",buggy
" More progress made. Only steps remaining are to populate the builders_ member and to write the sortOrders function.",buggy
" Moved avaiable prototype structures from BuildInst to InstModel so that BuildRegion can have access to them.",buggy
" Moved appropriate tests from BuildInst to InstModel. I reformulated InstModelTests to use a FakeInstModel rather than the GetParam function pointer in order to wrap the addPrototype function.",buggy
" Have finished implementation file and all tests for BuildRegion. Compiles and passes all tests. Just need to check agaisnt test input file.",buggy
" BuildRegion successfully completed. Compiles and passes all tests. Correctly runs buildtest1.xml",buggy
" Fully separated out init() functions from init(cur) functions. Any init() function now simply initalizes any members as is required. Increased BuildInst and InstModel performance by changing prototypes_ to a pointer.",buggy
" Updated files to remove Doxygen errors.",buggy
" added init() virtual function to Model class and now have all Model tests call that init function",buggy
" cleaned up some Test files to conform to our initialization paradigm. Regions and Markets both now have an initSimInteraction() function which handles their setParent()-ing among other things. They too now follow the naked init() paradigm.",buggy
" Fixes a segfault in the BuildInst tests found only on some architectures (mine that is a mac with the gnu compiler... )",buggy
" Ok I moved Katy's change back keeping the init functions out of constructors. I also attempted to fix Katy's problem with the tests by explicitly calling the init function in the test (albeit its constructor but I claim this is not the same). I have no solid reason for not wanting initialization functions to partly reside in a Model's constructor. I pretty much only have.. err 'feelings' in that I feel like members which must use placement new should do so in an initialization function and that initalization functions should be kept separate from constructors (in the core). I feel like this will save us headaches later on - we'll know exactly when and where all placement news and other similar initializations occur and that they were called at a specific time decoupled from anything else.",buggy
" Ok changed the inits again after a conference with Animal1. Every model class still has the init() function which instantiates any publicly accessible members with new; however this init function is now called in the constructor. Furthermore the init() function is no longer virtual. Every class is responsible for its own init() function.",buggy
" initial batch reactor functions complete: init() init(xmlptr) copy()",buggy
" removing extraneous files",clean
" BatchReactor header and implementation file rough drafts complete. Next: writing tests and input file.",buggy
" BatchReactor works as intended. Tests still need to be made -> I will write a ticket. Also bug found with GreedyMarket -> if a request is larger than an offer nothing happens. We should discuss if this is the right behavior. Take for example a SinkFacility with infinite capacity.",buggy
" adding batch reactor and build input files",buggy
" removing extraneous files",clean
" Fixed extraneous Model::init in ConverterModel",clean
" fixed an issue where BuildRegion only read one entry from the demand schedule.",buggy
" adding input file to check decommissioning and rebuilding",buggy
" Fix Doxygen warning",clean
" resource book-keeping has been simplified and is now initiated by the message class exclusively during transactions. OriginatorID has been removed from interfaces implementations and the output db as per discussion during cyclus meeting - facilities are black boxes and the core is only concerned with bk at trans time. fixes #90.",buggy
" Added 2 tests for message kill()ing. approveTransfer now checks if 'this' is killed before it initiates the transfer. fixes #95",buggy
" Fixed build issue in which FacilityTestSource was being reset erroneously by the ConditioningFacility CMakeLists.txt file.",clean
" temp - I am going to class.",buggy
" fixed issue where stateID's weren't being incremented properly sometimes - resulting in duplicate pk's in the output db.",clean
" Fixes issues with segfaulting when models 'delete this' by changing the way children are iterated over in InstModel. Fixed duplicate pk for resource states by eliminating code that checked for the state already existing.  This should resolve all your issues matt.",buggy
" all input files for Geniusv2 benchmarks added",buggy
" fixed isotope issue in buildtest's recipebook",clean
" reverted test.recipebook.xml must have been mangled in a previous commit",buggy
" fixed problem matt saw regarding decomissioning of reactors in his buildtest3.xml.  The problem was an artifact of looping over a vector that was being modified in the process.",buggy
" Added beginnings of output tools script based heavily on GENIUS post-processing work by Arnaud Kyle and Katy.",clean
" Script spits out zeros but runs with new_query=Query('cyclus.sqlite''material') ; new_query.getData()",clean
" fixed issue with cycle timing in the batch reactor p1v1.xml in the vision v1 benchmarks now correctly matches the expected hand calculation",buggy
" The BatchReactor now offers the correct recipe. However because we do no checking of identical recipes it now takes the simulation very long to run. This should be a priority change in the future. Also a bug has been fixed in the pushOne() method of the ResourceBuffer.",buggy
" beginnings of collapsing isos to elements.",clean
" Added resource query type. Testing still required.",clean
" adds some functions for file_io developed by Arnaud",clean
" This adds a quick script for pulling the total resource amounts received by some agent. For the usual case in which the resources are materials in units of kg this script creates an output file with just one column of cumulatively summed kg amounts corresponding one value per 12 timesteps.",clean
" added capacity factor to p5v1",buggy
" changed member var pointers to non-pointer vals and corresponding manip methods to be pass by ref. Fixes memory leak (new without delete).",buggy
" renamed 'print' method to 'str' in all models",buggy
" replaced 'void str()' with 'std::string str()'",buggy
" it compiles now but there are segfaulting problems when running the tests.",buggy
" still trying to figure out segfaulting.",buggy
" fixed the segfaulting problems.  Still a failed BatchReactor tick test.",buggy
" fixed issue with exp input",clean
" ugh.. refixed exp input file",clean
" temp  - started working on implementing code to reduce duplicate composition recording.",buggy
" finished - I think - I haven't checked for bugs yet.",clean
" fixes bug where ModelTests failed on InstModel concrete models because of uncaught exception due to NULL parent.",buggy
" ugh.. refixed exp input file",buggy
" Fixed Batch Reactor Tests",buggy
" Moved things to a more reasonable directory structure. This contributes to Issue #62 . The code does not build with this commit.",clean
" Cleaned things that were commented out and deprecated.",clean
" Code compiles and runs with new directory structure.",clean
" Cleans up the main CMakeLists file by generating CMakeLists file in the new (and some old) subdirectories. This will keep clutter out of the main file.",buggy
" Typo in Timerr.cpp",clean
" Added CPack to cyclus. It successfully automatically builds a beautiful MacOSX disk image file as well as some tarballs containing that disk image. All you have to do is 'make package'. All that said the cyclus and cyclusUnitTestDriver that it installs are missing all of the files and data we need to run cyclus including but not limited to the mass.sqlite files and all the rng files.",buggy
" added readme and license which are used in the package building process. Added a configuration file to help separate cpack stuff from cmake stuff but that's not fully functional just yet.",buggy
" Sets all components in a list.",buggy
" adds some configuration of the rng files that is hierarchical and module blind.",buggy
" the string is compiled and added in the right place. There are just some semicolons introduced by cmake which don't jive with the rng schema.",buggy
" Semicolon issue fixed with string replace.",buggy
" fixed tick iteration to robustly handle 'delete this' from children.",clean
" housekeeping. Added helpful comments to addChild and setParent methods.",buggy
" made regionmodel iteration robust to handle 'delete this' from children.",clean
" added tests that check for robust child iteration of inst and region model class. fixes #99.",buggy
" removed name field from ResourceBuff.  Closes #103.",buggy
" Adresses issue 101.  Adds a single test that ensures ResourceBuff allows unlimited resource pushing after a makeUnlimited call.",clean
" This adds a catch statement for any type of CycException that is raised during file loading. CycIOExceptions are not the only kind that can be raised. This fixes #116 .",buggy
" Improved some log statements.  Fixed some test segfaulting at higher log levels caused by failed dynamic_casting to Model*. Moved isDead impl to cpp file.",clean
" added test that checks that messages are killed if a communicator in their path_stack is deleted. Note that this test actually discovered an error that I also fixed.  Adresses issue 34.",buggy
" improved log output by removing abbreviations as per Katy's suggestion.",clean
" initial staging for iso-mat-streamline. constructors and operators complete.  updated IsoVector  updated IsoVector  operators decay and tests needed  constructors and operators look up to snuff. I took out the primary key stuff and will take care of that with the database refactor. still need to write tests.  decay lineage formulation coded. still need multiplicative operators memory checks tests and documentation  upgraded isovector memory management",buggy
" added a new singleton instance called RecipeLogger who manages logging recipes  removed extraneous files",buggy
" staging for final isovector work. testing of recipelogger complete.  changed to using shared pointers for compositions and compmaps. recipelogger appears to be done so testing and documentation need to be written. then on to adjusting the much simplified isovector.  updated make process to write and run new recipe tests  wrote tests for isotopic definitions... still have a lot of thinking to do about this topic..  adding some tests for Isotopic Definitions. name will be changed soon.",buggy
" Added a new class Composition. This class will hold unique instances of composition maps created in the simulation and will be pointed to by database storage.  Good work made towards composition and recipe logger class. All now appear to be sufficiently defined. Note that it is important to have both an IsoVector and Composition so that the IsoVector can handle decay by replacing its current composition with the child of that composition and being able to log both the parent and the child externally.  fixed compilation erros in Composition  updating work  move work done  moved IsoVector's decay related methods to Composition.  more work done. Composition is turning into IsoVector by any other name. still need to check +-==;mixseparate;print methods.",buggy
" made the decay handler compatible with CompMapPtrs.",clean
" mix and separate are now defined in Composition  finished all Composition operators  all Composition operators now compile  all Composition printing functionality now compiles",clean
" Changed Composition class name back to IsoVector",buggy
" IsoVector RecipeLogger and DecayHandler all compile. Testing documentation then on to the Material class.  Making tests",buggy
